"","lang","nativeCountryArea","complexity","logpop2","lat","lon","missing","propPresent","complexityCentered"
"235","Yupik (Central)	North America	-2	4.00000	59.50	-160.00	9	0.62500	-0.13333
Bororo	South America	-2	2.92942	-16.00	-57.00	15	0.37500	-0.22222
Candoshi	South America	-2	3.47712	-4.17	-77.00	16	0.33333	-0.25000
Capanahua	South America	-2	2.58771	-7.00	-74.00	18	0.25000	-0.33333
Cashinahua	South America	-2	3.30103	-10.50	-71.83	20	0.16667	-0.50000
Cavineña	South America	-2	3.07188	-13.33	-66.50	18	0.25000	-0.33333
Ese Ejja	South America	-2	3.24846	-11.00	-66.00	18	0.25000	-0.33333
Ignaciano	South America	-2	3.65321	-15.17	-65.42	19	0.20833	-0.40000
Retuarã	South America	-2	2.47712	-0.50	-70.67	12	0.50000	-0.16667
Saramaccan	South America	-2	4.41497	4.50	-55.50	18	0.25000	-0.33333
Teribe	South America	-2	3.47784	9.33	-82.67	14	0.41667	-0.20000
Tucano	South America	-2	3.66567	0.50	-69.17	15	0.37500	-0.22222
Xokleng	South America	-2	2.39794	-24.50	-50.00	18	0.25000	-0.33333
Adioukrou	Africa	-1	5.00000	5.42	-4.58	18	0.25000	-0.16667
Afrikaans	Africa	-1	6.77567	-31.00	22.00	18	0.25000	-0.16667
Anufo	Africa	-1	5.13862	10.08	0.25	22	0.08333	-0.50000
Anywa	Africa	-1	4.98965	8.00	33.50	19	0.20833	-0.20000
Avokaya	Africa	-1	4.81291	4.67	30.00	19	0.20833	-0.20000
Awngi	Africa	-1	5.55264	10.83	36.67	21	0.12500	-0.33333
Bafia	Africa	-1	4.77815	5.00	11.17	21	0.12500	-0.33333
Baka (in Cameroon)	Africa	-1	4.45025	2.58	13.58	19	0.20833	-0.20000
Berber (Rif)	Africa	-1	6.23045	34.50	-4.00	18	0.25000	-0.16667
Berber (Siwa)	Africa	-1	3.69897	29.17	25.50	20	0.16667	-0.25000
Berta	Africa	-1	5.16672	10.33	34.67	13	0.45833	-0.09091
Bété	Africa	-1	5.11394	6.25	-6.25	23	0.04167	-1.00000
Bimoba	Africa	-1	5.07918	10.50	0.00	20	0.16667	-0.25000
Busa	Africa	-1	4.30103	9.67	4.00	20	0.16667	-0.25000
Dagbani	Africa	-1	5.90309	9.58	-0.50	19	0.20833	-0.20000
Dan	Africa	-1	5.97845	7.50	-8.00	20	0.16667	-0.25000
Dime	Africa	-1	3.81298	6.17	36.25	19	0.20833	-0.20000
Dinka	Africa	-1	5.50515	8.50	28.00	19	0.20833	-0.20000
Ewondo	Africa	-1	5.76170	4.00	12.00	18	0.25000	-0.16667
Fyem	Africa	-1	3.47712	9.58	9.33	17	0.29167	-0.14286
Gã	Africa	-1	5.77815	5.67	-0.17	20	0.16667	-0.25000
Gokana	Africa	-1	5.00000	4.58	7.33	18	0.25000	-0.16667
Jarawa (in Nigeria)	Africa	-1	5.17609	9.50	10.50	18	0.25000	-0.16667
Jur Mödö	Africa	-1	5.00000	6.00	30.00	19	0.20833	-0.20000
Kadugli	Africa	-1	4.91116	11.00	29.67	20	0.16667	-0.25000
Kamba	Africa	-1	6.38886	-1.50	38.00	19	0.20833	-0.20000
Kanakuru	Africa	-1	4.30103	10.00	12.00	17	0.29167	-0.14286
Karimojong	Africa	-1	5.56820	3.00	34.17	18	0.25000	-0.16667
Katla	Africa	-1	4.15253	11.83	29.33	18	0.25000	-0.16667
Kenga	Africa	-1	4.60206	12.00	18.00	18	0.25000	-0.16667
Kikuyu	Africa	-1	6.72811	-0.75	36.75	17	0.29167	-0.14286
Kirma	Africa	-1	4.80003	10.25	-4.83	21	0.12500	-0.33333
Kwangali	Africa	-1	4.92416	-18.00	19.50	18	0.25000	-0.16667
Laal	Africa	-1	2.87448	10.00	17.67	18	0.25000	-0.16667
Lamang	Africa	-1	4.60206	11.25	13.58	18	0.25000	-0.16667
Lelemi	Africa	-1	4.68931	7.33	0.50	20	0.16667	-0.25000
Luganda	Africa	-1	6.47943	0.50	32.17	17	0.29167	-0.14286
Lunda	Africa	-1	5.60206	-10.67	24.00	18	0.25000	-0.16667
Ma	Africa	-1	3.67210	3.50	28.00	20	0.16667	-0.25000
Maasai	Africa	-1	5.94596	-3.00	36.00	19	0.20833	-0.20000
Mada (in Cameroon)	Africa	-1	4.23045	10.83	14.17	21	0.12500	-0.33333
Majang	Africa	-1	4.18585	6.75	35.00	20	0.16667	-0.25000
Margi	Africa	-1	5.13033	11.00	13.00	13	0.45833	-0.09091
Masalit	Africa	-1	5.38115	13.33	22.00	15	0.37500	-0.11111
Matuumbi	Africa	-1	4.85733	-8.50	39.00	20	0.16667	-0.25000
Mbay	Africa	-1	4.94596	8.25	17.50	13	0.45833	-0.09091
Mooré	Africa	-1	6.70215	12.83	-1.25	20	0.16667	-0.25000
Moru	Africa	-1	4.84510	4.75	29.75	18	0.25000	-0.16667
Musgu	Africa	-1	4.93403	10.83	14.92	18	0.25000	-0.16667
Ndut	Africa	-1	4.54407	14.92	-16.92	20	0.16667	-0.25000
Ngizim	Africa	-1	4.90309	12.08	10.92	17	0.29167	-0.14286
Ngoni	Africa	-1	5.31175	-11.00	36.00	19	0.20833	-0.20000
Nkonya	Africa	-1	4.44716	7.17	0.25	18	0.25000	-0.16667
Nyimang	Africa	-1	4.84510	12.17	29.33	20	0.16667	-0.25000
Ogbronuagum	Africa	-1	4.07918	4.75	6.87	18	0.25000	-0.16667
Päri	Africa	-1	4.44716	5.00	32.50	14	0.41667	-0.10000
Pero	Africa	-1	4.39794	9.58	11.00	18	0.25000	-0.16667
Rendille	Africa	-1	4.50515	2.00	37.50	21	0.12500	-0.33333
Ron	Africa	-1	5.06070	9.00	8.75	21	0.12500	-0.33333
Runga	Africa	-1	4.63326	10.33	21.00	17	0.29167	-0.14286
Runyankore	Africa	-1	6.21569	-0.50	30.50	19	0.20833	-0.20000
Samba Leko	Africa	-1	4.79253	8.50	12.50	21	0.12500	-0.33333
Shabo	Africa	-1	2.60206	7.58	35.42	21	0.12500	-0.33333
So	Africa	-1	3.69897	2.58	34.75	12	0.50000	-0.08333
Sotho (Northern)	Africa	-1	6.56934	-24.00	29.00	19	0.20833	-0.20000
Tama	Africa	-1	4.79886	14.50	22.00	20	0.16667	-0.25000
Tem	Africa	-1	5.48728	8.67	0.50	20	0.16667	-0.25000
Teso	Africa	-1	6.10671	1.83	33.83	19	0.20833	-0.20000
Tikar	Africa	-1	4.39794	5.83	11.67	22	0.08333	-0.50000
Toussian	Africa	-1	4.29003	11.00	-4.67	20	0.16667	-0.25000
Tsogo	Africa	-1	4.07918	-1.50	11.33	21	0.12500	-0.33333
Tuareg (Ahaggar)	Africa	-1	4.79239	23.00	6.00	21	0.12500	-0.33333
Tunen	Africa	-1	4.54777	4.75	10.67	19	0.20833	-0.20000
Vagla	Africa	-1	4.13033	9.42	-2.42	22	0.08333	-0.50000
Xhosa	Africa	-1	6.85818	-32.00	27.00	19	0.20833	-0.20000
Yakoma	Africa	-1	5.04139	4.42	18.42	22	0.08333	-0.50000
Zarma	Africa	-1	6.34013	13.83	2.17	21	0.12500	-0.33333
Alune	Asia	-1	4.23661	-3.00	128.33	19	0.20833	-0.20000
Ambai	Asia	-1	4.00230	-1.83	136.50	18	0.25000	-0.16667
Angami	Asia	-1	5.03743	25.67	94.50	20	0.16667	-0.25000
Ao	Asia	-1	5.14922	26.58	94.67	16	0.33333	-0.12500
Apatani	Asia	-1	4.36173	27.50	93.75	19	0.20833	-0.20000
Arabic (Iraqi)	Asia	-1	7.17898	33.00	44.00	19	0.20833	-0.20000
Arabic (Palestinian)	Asia	-1	6.78852	32.00	35.25	22	0.08333	-0.50000
Atayal	Asia	-1	4.92598	24.50	121.33	16	0.33333	-0.12500
Azerbaijani	Asia	-1	7.38675	40.50	48.50	15	0.37500	-0.11111
Balinese	Asia	-1	6.59106	-8.33	115.25	22	0.08333	-0.50000
Balti	Asia	-1	5.52763	35.00	76.00	20	0.16667	-0.25000
Baluchi	Asia	-1	6.25648	28.00	62.00	21	0.12500	-0.33333
Bengali	Asia	-1	8.23317	24.00	90.00	19	0.20833	-0.20000
Bhojpuri	Asia	-1	7.42476	26.00	84.00	20	0.16667	-0.25000
Bikol	Asia	-1	6.39794	13.33	123.50	22	0.08333	-0.50000
Bodo	Asia	-1	5.78053	26.83	92.00	19	0.20833	-0.20000
Bontok	Asia	-1	4.60206	17.08	120.92	18	0.25000	-0.16667
Budukh	Asia	-1	3.00000	41.17	48.42	21	0.12500	-0.33333
Chang	Asia	-1	4.49136	26.33	94.75	18	0.25000	-0.16667
Galela	Asia	-1	4.89763	2.42	128.33	22	0.08333	-0.50000
Gallong	Asia	-1	5.04567	28.17	94.67	19	0.20833	-0.20000
Gilaki	Asia	-1	6.51388	37.33	50.00	21	0.12500	-0.33333
Hiligaynon	Asia	-1	6.84510	10.25	123.00	21	0.12500	-0.33333
Hmar	Asia	-1	4.69897	24.17	93.00	20	0.16667	-0.25000
Hmong Daw	Asia	-1	5.71172	26.00	105.00	22	0.08333	-0.50000
Irarutu	Asia	-1	3.60206	-3.00	133.50	19	0.20833	-0.20000
Jurchen	Asia	-1	1.69897	47.00	130.00	21	0.12500	-0.33333
Karaim	Asia	-1	1.69897	54.67	24.92	21	0.12500	-0.33333
Kei	Asia	-1	4.92942	-5.83	132.92	22	0.08333	-0.50000
Khalaj	Asia	-1	4.62435	35.00	50.00	18	0.25000	-0.16667
Khaling	Asia	-1	3.96792	27.50	86.67	18	0.25000	-0.16667
Kham	Asia	-1	4.00000	28.50	82.75	18	0.25000	-0.16667
Konjo	Asia	-1	5.09691	-5.47	120.33	18	0.25000	-0.16667
Kulung	Asia	-1	4.27152	27.50	87.00	20	0.16667	-0.25000
Maanyan","Asia",-1,5.17609,-2,115,22,0.08333,-0.5
"236","Mamanwa","Asia",-1,3.71198,9.42,125.5,21,0.125,-0.33333
"237","Manggarai","Asia",-1,5.69897,-8.5,120.33,20,0.16667,-0.25
"238","Meyah","Asia",-1,4.16976,-1.17,133.5,18,0.25,-0.16667
"239","Mulao","Asia",-1,4.69897,25,108,21,0.125,-0.33333
"240","Nancowry","Asia",-1,3.34242,8.05,93.5,21,0.125,-0.33333
"241","Nar-Phu","Asia",-1,2.72673,28.67,84.25,19,0.20833,-0.2
"242","Nepali","Asia",-1,7.23576,28,85,17,0.29167,-0.14286
"243","Paulohi","Asia",-1,1.69897,-3.25,128.75,19,0.20833,-0.2
"244","Purki","Asia",-1,5.12057,34.67,76,18,0.25,-0.16667
"245","Qiang","Asia",-1,4.91009,32,102.67,20,0.16667,-0.25
"246","Rukai","Asia",-1,4.02296,22.83,120.83,17,0.29167,-0.14286
"247","Santali","Asia",-1,6.78932,24.5,87,19,0.20833,-0.2
"248","Sapuan","Asia",-1,3.38021,15.17,106.83,21,0.125,-0.33333
"249","Shina","Asia",-1,5.50651,36,74,20,0.16667,-0.25
"250","Sko","Asia",-1,2.8451,-2.67,140.92,22,0.08333,-0.5
"251","Sre","Asia",-1,5.10966,11.5,108,20,0.16667,-0.25
"252","Svan","Asia",-1,4.17609,43,42.5,22,0.08333,-0.5
"253","Tajik","Asia",-1,6.6415,38.67,70,18,0.25,-0.16667
"254","Tamil","Asia",-1,7.81968,11,78.5,14,0.41667,-0.1
"255","Tboli","Asia",-1,4.9792,6.17,124.5,19,0.20833,-0.2
"256","Temiar","Asia",-1,4.0642,5,101.5,17,0.29167,-0.14286
"257","Thulung","Asia",-1,4.52261,27.42,86.5,21,0.125,-0.33333
"258","Timugon","Asia",-1,4.08271,5,116,20,0.16667,-0.25
"259","Tobelo","Asia",-1,4.44279,1.5,128.5,19,0.20833,-0.2
"260","Toratán","Asia",-1,4.47712,1.08,124.83,21,0.125,-0.33333
"261","Tsou","Asia",-1,3.32777,23.5,120.75,18,0.25,-0.16667
"262","Tsova-Tush","Asia",-1,3.53403,42.5,45.5,17,0.29167,-0.14286
"263","Tugun","Asia",-1,3.07918,-7.72,126.75,21,0.125,-0.33333
"264","Tulu","Asia",-1,6.28981,12.75,75.33,20,0.16667,-0.25
"265","Udi","Asia",-1,3.7574,41,48,19,0.20833,-0.2
"266","Uma","Asia",-1,4.30103,-1.83,120,17,0.29167,-0.14286
"267","Wakhi","Asia",-1,4.50059,36.5,72,20,0.16667,-0.25
"268","Warembori","Asia",-1,2.77815,-1.67,137.58,21,0.125,-0.33333
"269","Wolio","Asia",-1,4.53818,-5.5,122.75,20,0.16667,-0.25
"270","Yawa","Asia",-1,3.77815,-1.75,136.25,18,0.25,-0.16667
"271","Alawa","Australia and Oceania",-1,1.69897,-15.17,134.25,16,0.33333,-0.125
"272","Alyawarra","Australia and Oceania",-1,3.17609,-22.5,135,17,0.29167,-0.14286
"273","Ambulas","Australia and Oceania",-1,4.64345,-3.83,143,20,0.16667,-0.25
"274","Anamuxra","Australia and Oceania",-1,3.09795,-4.67,145,20,0.16667,-0.25
"275","Anem","Australia and Oceania",-1,2.74036,-5.58,149.08,16,0.33333,-0.125
"276","Arabana","Australia and Oceania",-1,1.69897,-28.25,136.25,18,0.25,-0.16667
"277","Araki","Australia and Oceania",-1,1.69897,-15.67,166.92,22,0.08333,-0.5
"278","Arop-Lokep","Australia and Oceania",-1,3.47929,-5.38,147.05,19,0.20833,-0.2
"279","Atchin","Australia and Oceania",-1,3.77815,-16,167.33,21,0.125,-0.33333
"280","Baining","Australia and Oceania",-1,3.80277,-4.58,152,21,0.125,-0.33333
"281","Balanta","Australia and Oceania",-1,5.59439,12.25,-15.33,21,0.125,-0.33333
"282","Bandjalang","Australia and Oceania",-1,1.69897,-28.75,153,17,0.29167,-0.14286
"283","Banoni","Australia and Oceania",-1,3,-6.42,155.25,20,0.16667,-0.25
"284","Benabena","Australia and Oceania",-1,4.65321,-6.17,145.5,22,0.08333,-0.5
"285","Bininj Gun-Wok","Australia and Oceania",-1,3.17926,-12.5,133.75,17,0.29167,-0.14286
"286","Bongu","Australia and Oceania",-1,2.93146,-5.5,145.92,20,0.16667,-0.25
"287","Buma","Australia and Oceania",-1,1.69897,-11.63,166.83,20,0.16667,-0.25
"288","Dhargari","Australia and Oceania",-1,1.69897,-23.75,114.92,20,0.16667,-0.25
"289","Djaru","Australia and Oceania",-1,2.39794,-18.75,128,20,0.16667,-0.25
"290","Dyirbal","Australia and Oceania",-1,1.69897,-17.83,145.58,17,0.29167,-0.14286
"291","Fore","Australia and Oceania",-1,4.23045,-6.75,145.5,21,0.125,-0.33333
"292","Garrwa","Australia and Oceania",-1,2.30103,-17.08,137.17,21,0.125,-0.33333
"293","Gela","Australia and Oceania",-1,4.07467,-9.08,160.25,19,0.20833,-0.2
"294","Gugada","Australia and Oceania",-1,1.69897,-30,134,20,0.16667,-0.25
"295","Jabêm","Australia and Oceania",-1,3.3189,-6.58,147.78,18,0.25,-0.16667
"296","Kaian","Australia and Oceania",-1,2.50786,-4.08,144.75,21,0.125,-0.33333
"297","Kalkatungu","Australia and Oceania",-1,1.69897,-21,139.5,21,0.125,-0.33333
"298","Kaulong","Australia and Oceania",-1,3.60206,-6.17,149.67,19,0.20833,-0.2
"299","Kele","Australia and Oceania",-1,2.77815,-2.08,147.08,20,0.16667,-0.25
"300","Kosraean","Australia and Oceania",-1,3.90309,5.3,163,13,0.45833,-0.09091
"301","Kuku-Yalanji","Australia and Oceania",-1,2.8451,-16,145,20,0.16667,-0.25
"302","Lenakel","Australia and Oceania",-1,3.81291,-19.45,169.25,18,0.25,-0.16667
"303","Lewo","Australia and Oceania",-1,2.87506,-16.75,168.33,22,0.08333,-0.5
"304","Lou","Australia and Oceania",-1,3,-2.38,147.32,20,0.16667,-0.25
"305","Malakmalak","Australia and Oceania",-1,1.69897,-13.42,130.42,20,0.16667,-0.25
"306","Maleu","Australia and Oceania",-1,3.716,-5.72,148.42,20,0.16667,-0.25
"307","Mangap-Mbula","Australia and Oceania",-1,3.39794,-5.67,148.08,20,0.16667,-0.25
"308","Mara","Australia and Oceania",-1,1.69897,-15,135.17,18,0.25,-0.16667
"309","Margany","Australia and Oceania",-1,1.69897,-27,144.5,19,0.20833,-0.2
"310","Monumbo","Australia and Oceania",-1,2.6149,-4.25,145,22,0.08333,-0.5
"311","Nabak","Australia and Oceania",-1,4.20412,-6.42,147,18,0.25,-0.16667
"312","Nalik","Australia and Oceania",-1,3.71079,-2.95,151.33,22,0.08333,-0.5
"313","Ndjébbana","Australia and Oceania",-1,2,-12.17,134.12,19,0.20833,-0.2
"314","Nelemwa","Australia and Oceania",-1,2.97635,-20.25,164.08,22,0.08333,-0.5
"315","Ngankikurungkurr","Australia and Oceania",-1,2.43933,-14,130.5,20,0.16667,-0.25
"316","Nyawaygi","Australia and Oceania",-1,1.69897,-19,146.17,21,0.125,-0.33333
"317","Ono","Australia and Oceania",-1,3.74036,-6.17,147.58,21,0.125,-0.33333
"318","Paakantyi","Australia and Oceania",-1,1.69897,-32.5,142.5,19,0.20833,-0.2
"319","Pawaian","Australia and Oceania",-1,3.60206,-7,145.08,20,0.16667,-0.25
"320","Roviana","Australia and Oceania",-1,3.99436,-8.25,157.33,19,0.20833,-0.2
"321","Rumu","Australia and Oceania",-1,3,-7.17,144.25,20,0.16667,-0.25
"322","Saa	Australia and Oceania	-1	4.06141	-9.62	161.45	21	0.12500	-0.33333
Sare	Australia and Oceania	-1	3.21431	-4.50	143.17	19	0.20833	-0.20000
Siar	Australia and Oceania	-1	3.31723	-4.67	152.92	22	0.08333	-0.50000
Sonsorol-Tobi	Australia and Oceania	-1	2.77815	5.33	132.25	20	0.16667	-0.25000
Sulka	Australia and Oceania	-1	3.39794	-5.08	151.92	18	0.25000	-0.16667
Tabare	Australia and Oceania	-1	4.69966	-6.08	145.00	21	0.12500	-0.33333
Tahitian	Australia and Oceania	-1	5.09434	-17.67	-149.58	17	0.29167	-0.14286
Taiof	Australia and Oceania	-1	3.14613	-5.53	154.63	21	0.12500	-0.33333
Takia	Australia and Oceania	-1	4.29268	-4.67	146.00	19	0.20833	-0.20000
Tangga	Australia and Oceania	-1	3.76343	-3.47	153.20	21	0.12500	-0.33333
Teop	Australia and Oceania	-1	3.69897	-5.67	155.00	19	0.20833	-0.20000
Thaayorre	Australia and Oceania	-1	2.17609	-14.58	141.83	21	0.12500	-0.33333
Tok Pisin	Australia and Oceania	-1	5.08279	-9.50	147.17	20	0.16667	-0.25000
Tokelauan	Australia and Oceania	-1	3.51081	-9.00	-172.00	20	0.16667	-0.25000
Toqabaqita	Australia and Oceania	-1	4.09940	-8.42	160.58	21	0.12500	-0.33333
Tuvaluan	Australia and Oceania	-1	4.11564	-8.50	179.17	19	0.20833	-0.20000
Wahgi	Australia and Oceania	-1	4.67210	-5.83	144.72	19	0.20833	-0.20000
Wallisian	Australia and Oceania	-1	4.47375	-13.30	-176.20	22	0.08333	-0.50000
Walman	Australia and Oceania	-1	3.24055	-3.22	142.50	20	0.16667	-0.25000
Warrgamay	Australia and Oceania	-1	1.69897	-18.58	146.08	18	0.25000	-0.16667
Watjarri	Australia and Oceania	-1	1.69897	-26.00	117.50	18	0.25000	-0.16667
Worora	Australia and Oceania	-1	1.69897	-15.67	124.67	18	0.25000	-0.16667
Yagaria	Australia and Oceania	-1	4.32461	-6.33	145.42	15	0.37500	-0.11111
Yelî Dnye	Australia and Oceania	-1	3.57403	-11.37	154.17	16	0.33333	-0.12500
Yuwaalaraay	Australia and Oceania	-1	1.69897	-29.50	148.00	18	0.25000	-0.16667
Abaza	Eurasia	-1	4.65220	44.00	42.00	21	0.12500	-0.33333
Aghul	Eurasia	-1	4.24067	41.75	47.67	20	0.16667	-0.25000
Archi	Eurasia	-1	3.00000	42.00	46.83	17	0.29167	-0.14286
Bagvalal	Eurasia	-1	3.30103	42.58	46.17	20	0.16667	-0.25000
Bezhta	Eurasia	-1	3.47712	42.08	46.17	21	0.12500	-0.33333
Buriat	Eurasia	-1	4.81224	52.00	108.00	15	0.37500	-0.11111
Dargwa	Eurasia	-1	5.56994	42.25	47.42	19	0.20833	-0.20000
Kabardian	Eurasia	-1	6.00518	43.50	43.50	16	0.33333	-0.12500
Komi-Permyak	Eurasia	-1	5.06446	59.50	54.50	19	0.20833	-0.20000
Komi-Zyrian	Eurasia	-1	5.41863	62.00	50.00	20	0.16667	-0.25000
Kumyk	Eurasia	-1	5.45110	43.00	47.33	20	0.16667	-0.25000
Noghay	Eurasia	-1	4.83127	44.00	46.00	19	0.20833	-0.20000
Rutul	Eurasia	-1	4.30343	41.50	47.42	18	0.25000	-0.16667
Tsakhur	Eurasia	-1	4.30261	41.67	47.17	20	0.16667	-0.25000
Tsez	Eurasia	-1	3.84510	42.25	45.75	20	0.16667	-0.25000
Votic	Eurasia	-1	1.69897	59.50	30.00	21	0.12500	-0.33333
Cornish	Europe	-1	2.69897	50.33	-5.00	18	0.25000	-0.16667
Frisian	Europe	-1	4.04139	53.00	5.00	19	0.20833	-0.20000
Achumawi	North America	-1	1.69897	41.50	-121.00	20	0.16667	-0.25000
Atakapa	North America	-1	1.69897	30.00	-93.50	17	0.29167	-0.14286
Biloxi	North America	-1	1.69897	30.50	-88.67	18	0.25000	-0.16667
Blackfoot	North America	-1	3.70757	50.00	-112.67	17	0.29167	-0.14286
Chemehuevi	North America	-1	3.29754	34.33	-115.17	17	0.29167	-0.14286
Cherokee	North America	-1	4.17609	35.50	-83.50	18	0.25000	-0.16667
Cheyenne	North America	-1	3.23578	43.50	-104.00	21	0.12500	-0.33333
Chichimeca-Jonaz	North America	-1	2.30103	21.67	-100.50	22	0.08333	-0.50000
Chimariko	North America	-1	1.69897	41.00	-123.00	19	0.20833	-0.20000
Chinantec (Quiotepec)	North America	-1	3.90309	17.58	-96.67	20	0.16667	-0.25000
Choctaw	North America	-1	3.96431	32.25	-88.50	18	0.25000	-0.16667
Chumash (Barbareño)	North America	-1	1.69897	34.50	-120.25	18	0.25000	-0.16667
Coeur dAlene","North America",-1,1.69897,47.25,-116.5,20,0.16667,-0.25
"323","Cree (Eastern)","North America",-1,3.86368,51,-74,20,0.16667,-0.25
"324","Garífuna","North America",-1,5.28324,15.67,-88,17,0.29167,-0.14286
"325","Hualapai","North America",-1,3.43024,35.5,-113.75,19,0.20833,-0.2
"326","Huave (San Mateo del Mar)","North America",-1,4.07918,16.22,-95,18,0.25,-0.16667
"327","Hupa","North America",-1,1.69897,41.08,-123.67,19,0.20833,-0.2
"328","Inuktitut (Salluit)","North America",-1,4.14613,62,-76,21,0.125,-0.33333
"329","Kalispel","North America",-1,2.30103,48,-117,20,0.16667,-0.25
"330","Klamath","North America",-1,1.69897,42.5,-121.5,17,0.29167,-0.14286
"331","Mixe (Coatlán)","North America",-1,3.69897,16.92,-95.67,19,0.20833,-0.2
"332","Mixtec (Ayutla)","North America",-1,3.92942,16.92,-99.17,22,0.08333,-0.5
"333","Mixtec (Coatzospan)","North America",-1,3.69897,18.08,-96.58,22,0.08333,-0.5
"334","Mixtec (Jicaltepec)","North America",-1,4.30103,16.33,-98,19,0.20833,-0.2
"335","Mixtec (Ocotepec)","North America",-1,3.69897,17.17,-97.75,19,0.20833,-0.2
"336","Montagnais","North America",-1,3.92855,52,-65,20,0.16667,-0.25
"337","Munsee","North America",-1,1.69897,41.5,-74.67,22,0.08333,-0.5
"338","Nahuatl (Huasteca)","North America",-1,5.61278,22,-99,19,0.20833,-0.2
"339","Nuuchahnulth","North America",-1,2.30103,49.67,-126.67,20,0.16667,-0.25
"340","Ojibwa (Eastern)","North America",-1,4.41305,46,-80,20,0.16667,-0.25
"341","Osage","North America",-1,1.69897,37,-94,21,0.125,-0.33333
"342","Pima Bajo","North America",-1,3,29,-111,18,0.25,-0.16667
"343","Popoloca (San Juan Atzingo)","North America",-1,3.69897,18.17,-96.42,18,0.25,-0.16667
"344","Salinan","North America",-1,1.69897,36,-121,14,0.41667,-0.1
"345","Sarcee","North America",-1,1.69897,52.5,-116,17,0.29167,-0.14286
"346","Sayultec","North America",-1,3.60206,17.83,-95,22,0.08333,-0.5
"347","Seneca","North America",-1,2.24304,42.5,-77.5,21,0.125,-0.33333
"348","Seri","North America",-1,2.90309,29,-112,18,0.25,-0.16667
"349","Tarahumara (Central)","North America",-1,4.74036,27.5,-107.5,21,0.125,-0.33333
"350","Tepehua","North America",-1,3.47712,20.83,-98.17,19,0.20833,-0.2
"351","Tepehuan (Northern)","North America",-1,3.90309,26.33,-107,11,0.54167,-0.07692
"352","Tillamook","North America",-1,1.69897,45.33,-123.75,22,0.08333,-0.5
"353","Tiwa (Southern)","North America",-1,3.21245,35,-106.33,22,0.08333,-0.5
"354","Tojolabal","North America",-1,4.5563,16.33,-91.5,21,0.125,-0.33333
"355","Tonkawa","North America",-1,1.69897,30.25,-96.75,11,0.54167,-0.07692
"356","Tsimshian (Coast)","North America",-1,2.90309,52.5,-129,9,0.625,-0.06667
"357","Tuscarora","North America",-1,1.69897,36,-77.5,17,0.29167,-0.14286
"358","Yucatec","North America",-1,5.8451,20,-89,21,0.125,-0.33333
"359","Yuchi","North America",-1,1.69897,35.75,-86.75,11,0.54167,-0.07692
"360","Zapotec (Isthmus)","North America",-1,4.92942,16.33,-94.17,18,0.25,-0.16667
"361","Zapotec (San Lucas Quiaviní)","North America",-1,4.45484,16.9,-96.47,18,0.25,-0.16667
"362","Zapotec (Yatzachi)","North America",-1,3.39794,17.2,-96.2,21,0.125,-0.33333
"363","Zoque (Chimalapa)","North America",-1,3.65321,16.75,-94.75,20,0.16667,-0.25
"364","Zoque (Soteapan)","North America",-1,4.47712,18.33,-95.17,20,0.16667,-0.25
"365","Aguaruna","South America",-1,4.58309,-5,-78,22,0.08333,-0.5
"366","Amahuaca","South America",-1,2.49136,-10.5,-72.5,18,0.25,-0.16667
"367","Amuesha","South America",-1,3.9926,-10.5,-75.42,17,0.29167,-0.14286
"368","Apinayé","South America",-1,2.90309,-5.5,-48,19,0.20833,-0.2
"369","Arawak","South America",-1,3.38917,5.5,-55.17,13,0.45833,-0.09091
"370","Baure","South America",-1,1.69897,-13.08,-64.17,18,0.25,-0.16667
"371","Cayapa","South America",-1,3.53782,0.67,-79,20,0.16667,-0.25
"372","Chorote","South America",-1,3.30276,-22.5,-62.5,22,0.08333,-0.5
"373","Damana","South America",-1,3.50853,11,-73.5,21,0.125,-0.33333
"374","Gününa Küne","South America",-1,1.69897,-41,-67,20,0.16667,-0.25
"375","Huitoto (Minica)","South America",-1,3.23172,-0.33,-74,12,0.5,-0.08333
"376","Huitoto (Muinane)","South America",-1,2,-2.42,-71,21,0.125,-0.33333
"377","Jaqaru","South America",-1,2.86688,-13,-76,16,0.33333,-0.125
"378","Jebero","South America",-1,3.39794,-5.42,-76.5,17,0.29167,-0.14286
"379","Jivaro","South America",-1,4.66903,-2.5,-78,19,0.20833,-0.2
"380","Kadiwéu","South America",-1,3.07918,-20,-57,19,0.20833,-0.2
"381","Kaingang","South America",-1,4.25527,-26,-52,21,0.125,-0.33333
"382","Kamaiurá","South America",-1,2.4456,-12,-52.67,18,0.25,-0.16667
"383","Karitiâna","South America",-1,2.30103,-9.5,-64,18,0.25,-0.16667
"384","Karó (Arára)","South America",-1,2.17609,-10.33,-62,18,0.25,-0.16667
"385","Machiguenga","South America",-1,4.00642,-12,-72.67,21,0.125,-0.33333
"386","Matis","South America",-1,2.07918,-4.42,-70.25,19,0.20833,-0.2
"387","Movima","South America",-1,3.16197,-13.83,-65.67,21,0.125,-0.33333
"388","Mundurukú","South America",-1,3.8451,-7,-58,20,0.16667,-0.25
"389","Nadëb","South America",-1,2.47712,-1,-66.5,17,0.29167,-0.14286
"390","Nambikuára","South America",-1,3.0607,-13,-59,16,0.33333,-0.125
"391","Páez","South America",-1,4.8537,2.67,-76,18,0.25,-0.16667
